GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201603220067,2016-03-22,"Ukraine","Kirovohrad","Unknown",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602280043,2016-02-27,"Ukraine","Teple","Unknown",0,,,,,2,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602250035,2016-02-25,"Ukraine","Lozove","Unknown",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602170071,2016-02-17,"Ukraine","Makiivka","Unknown",0,,,,,2,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602160083,2016-02-16,"Ukraine","Yasynuvata","Unknown",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602150045,2016-02-15,"Ukraine","Stanytsia Luhanska","Unknown",0,,,,,0,0,Educational Institution,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602150001,2016-02-15,"Russia","Dzhemikent","Caucasus Province of the Islamic State",0,,,,,4,16,Police,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602100038,2016-02-10,"Ukraine","Marinka","Unknown",0,,,,,4,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602070036,2016-02-07,"Ukraine","Kherson","Pro-Russia Militia",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601270046,2016-01-27,"Ukraine","Donetsk","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601160062,2016-01-16,"Ukraine","Marinka","Unknown",0,,,,,0,0,Government (Diplomatic),,,Eastern Europe,Armed Assault,,,Firearms,,,
201601100041,2016-01-10,"Canada","Calgary","Muslim extremists",0,,,,,0,1,Business,,,North America,Armed Assault,,,Firearms,,,
201512310048,2015-12-31,"United States","Strasburg","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300045,2015-12-30,"United States","Colerain","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512290033,2015-12-29,"Russia","Derbent","Caucasus Province of the Islamic State",0,,,,,1,11,Tourists,,,Eastern Europe,Armed Assault,,,Firearms,,,
201512260049,2015-12-26,"Ukraine","Zaytseve","Donetsk People's Republic",0,,,,,1,0,Military,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512210031,2015-12-21,"Ukraine","Donetsk","Unknown",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512180041,2015-12-18,"Estonia","Tallinn","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512150011,2015-12-15,"Ukraine","Dnipropetrovsk","Unknown",0,,,,,1,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512070041,2015-12-07,"Kosovo","Gorazhdec","Unknown",0,,,,,0,0,Private Citizens & Property,Private Citizens & Property,,Eastern Europe,Armed Assault,Facility/Infrastructure Attack,,Firearms,Incendiary,,
201512070018,2015-12-07,"Ukraine","Bucha","Unknown",0,,,,,0,8,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512020012,2015-12-02,"United States","San Bernardino","Jihadi-inspired extremists",0,,,,,16,17,Government (General),,,North America,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
201511290030,2015-11-29,"Mexico","Acapulco","Unknown",0,,,,,3,5,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,
201511240064,2015-11-24,"Ukraine","Stanytsia Luhanska district","Unknown",0,,,,,0,2,Military,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201511230084,2015-11-23,"United States","Minneapolis","Sovereign Citizen",0,"White extremists",0,,,0,5,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,
201511180005,2015-11-18,"Bosnia-Herzegovina","Rajlovac","Muslim extremists",0,,,,,2,3,Military,Transportation,,Eastern Europe,Armed Assault,,,Firearms,,,
201511160033,2015-11-16,"Ukraine","Krasnohorivka","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201511160032,2015-11-16,"Ukraine","Hirnyk","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201511130061,2015-11-13,"Ukraine","Marinka","Unknown",0,,,,,2,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
